success,trial_type,trial_index,time_elapsed,internal_node_id,sub_n,timeout,failed_images,failed_audio,failed_video,screen_id,rt,response,stimulus,view_history,trial,r1,r2,r3,w1,h1,w2,h2,w3,h3,display,tdd,tdo,tw,th,cw,ch,dw,dh,ta,ca,da,probe,csls,csss,clls,clss,sa,la,probe_rects
TRUE,fullscreen,0,4109,0.0-0.0,5009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,preload,1,4126,0.0-1.0,5009,FALSE,[],[],[],img preload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,survey-html-form,2,9025,0.0-2.0,5009,,,,,enter-sub-number,4893,"{""response"":""01""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,image-button-response,3,37567,0.0-3.0,5009,,,,,,28465,0,consent.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,html-button-response,4,44614,0.0-4.0,5009,,,,,intro mssg,7037,0,"<div style= ""font-size:25px;"" <p> <strong> Welcome! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> Your data will be lost <br> if you try to go back or refresh the page after the experiment starts. Feel free to click ""previous"" during the instructions, however.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,instructions,5,124823,0.0-5.0,5009,,,,,instructions,80201,,,"[{""page_index"":0,""viewing_time"":13033},{""page_index"":1,""viewing_time"":7880},{""page_index"":0,""viewing_time"":6431},{""page_index"":1,""viewing_time"":2025},{""page_index"":2,""viewing_time"":3792},{""page_index"":3,""viewing_time"":30192},{""page_index"":4,""viewing_time"":7368},{""page_index"":5,""viewing_time"":2847},{""page_index"":6,""viewing_time"":3592},{""page_index"":7,""viewing_time"":3040}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,canvas-keyboard-response,6,125030,0.0-6.0-0.0,5009,,,,,pre trial waiting period,null,null,,,critical,t,d,c,240,164,232.8713,160.6713,164,240,spektor,0.05,w,240,164,164,240,232.8713,160.6713,39360,39360,37415.7294,tc,null,null,null,null,null,null,"[1,3]"
,canvas-keyboard-response,7,125197,0.0-6.0-1.0,5009,,,,,clear_screen,null,null,,,critical,t,d,c,240,164,232.8713,160.6713,164,240,spektor,0.05,w,240,164,164,240,232.8713,160.6713,39360,39360,37415.7294,tc,null,null,null,null,null,null,"[1,3]"
,canvas-keyboard-response,8,126540,0.0-6.0-2.0,5009,,,,,rectangles,null,null,,,critical,t,d,c,240,164,232.8713,160.6713,164,240,spektor,0.05,w,240,164,164,240,232.8713,160.6713,39360,39360,37415.7294,tc,null,null,null,null,null,null,"[1,3]"
,canvas-keyboard-response,9,126704,0.0-6.0-3.0,5009,,,,,clear_screen,null,null,,,critical,t,d,c,240,164,232.8713,160.6713,164,240,spektor,0.05,w,240,164,164,240,232.8713,160.6713,39360,39360,37415.7294,tc,null,null,null,null,null,null,"[1,3]"
,canvas-keyboard-response,10,129498,0.0-6.0-4.0,5009,,,,,make choice,2780,3,,,critical,t,d,c,240,164,232.8713,160.6713,164,240,spektor,0.05,w,240,164,164,240,232.8713,160.6713,39360,39360,37415.7294,tc,null,null,null,null,null,null,"[1,3]"
,canvas-keyboard-response,11,129658,0.0-6.0-5.0,5009,,,,,clear_screen,null,null,,,critical,t,d,c,240,164,232.8713,160.6713,164,240,spektor,0.05,w,240,164,164,240,232.8713,160.6713,39360,39360,37415.7294,tc,null,null,null,null,null,null,"[1,3]"
