"success","trial_type","trial_index","time_elapsed","internal_node_id","sub_n","timeout","failed_images","failed_audio","failed_video","screen_id","rt","response","stimulus","view_history","trial","r1","r2","r3","w1","h1","w2","h2","w3","h3","display","tdd","tdo","tw","th","cw","ch","dw","dh","ta","ca","da","probe","csls","csss","clls","clss","sa","la","probe_rects"
"true","fullscreen","0","7303","0.0-0.0","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","preload","1","7324","0.0-1.0","13","false","[]","[]","[]","img preload","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","survey-html-form","2","10957","0.0-2.0","13","","","","","enter-sub-number","3626","{""response"":""13""}","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","image-button-response","3","68877","0.0-3.0","13","","","","","","57850","0","consent.png","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","html-button-response","4","80703","0.0-4.0","13","","","","","intro mssg","11816","0","<div style= ""font-size:25px;"" <p> <strong> Welcome! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> Your data will be lost <br> if you try to go back or refresh the page after the experiment starts. Feel free to click ""previous"" during the instructions, however.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","instructions","5","129461","0.0-5.0","13","","","","","instructions","48753","","","[{""page_index"":0,""viewing_time"":7649},{""page_index"":1,""viewing_time"":7528},{""page_index"":2,""viewing_time"":2208},{""page_index"":3,""viewing_time"":14959},{""page_index"":4,""viewing_time"":4417},{""page_index"":5,""viewing_time"":3584},{""page_index"":4,""viewing_time"":239},{""page_index"":3,""viewing_time"":2368},{""page_index"":4,""viewing_time"":449},{""page_index"":5,""viewing_time"":1697},{""page_index"":6,""viewing_time"":2575},{""page_index"":7,""viewing_time"":1080}]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","canvas-keyboard-response","6","129668","0.0-6.0-0.0","13","","","","","pre trial waiting period","null","null","","","catch","l","sh","sw","228","240","227","210","158","179","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,2]"
"","canvas-keyboard-response","7","129831","0.0-6.0-1.0","13","","","","","clear_screen","null","null","","","catch","l","sh","sw","228","240","227","210","158","179","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,2]"
"","canvas-keyboard-response","8","131172","0.0-6.0-2.0","13","","","","","rectangles","null","null","","","catch","l","sh","sw","228","240","227","210","158","179","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,2]"
"","canvas-keyboard-response","9","131337","0.0-6.0-3.0","13","","","","","clear_screen","null","null","","","catch","l","sh","sw","228","240","227","210","158","179","trueblood","null","null","null","null","null","null","null","null","null","null","null","","180","200","260","200","36000","52000","[1,2]"
