success,trial_type,trial_index,time_elapsed,internal_node_id,sub_n,timeout,failed_images,failed_audio,failed_video,screen_id,rt,response,stimulus,view_history,trial,r1,r2,r3,w1,h1,w2,h2,w3,h3,display,tdd,tdo,tw,th,cw,ch,dw,dh,ta,ca,da,probe,csls,csss,clls,clss,sa,la,probe_rects,r1yloc,r2yloc,r3yloc
TRUE,fullscreen,0,2060,0.0-0.0,584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRUE,preload,1,2076,0.0-1.0,584,FALSE,[],[],[],img preload,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,survey-html-form,2,4743,0.0-2.0,584,,,,,enter-sub-number,2661,"{""response"":""572""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,image-button-response,3,17129,0.0-3.0,584,,,,,,12322,0,consent.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,html-button-response,4,19560,0.0-4.0,584,,,,,intro mssg,2428,0,"<div style= ""font-size:25px;"" <p> <strong> Welcome! </strong><br> <p style=""color:#8B0000; font-size:25px;""><strong> Please do NOT exit full screen until you are done with the experiment. </strong> </p><p style=""font-size:25px;color:#8B0000;""> <strong> Your data will be lost <br> if you try to go back or refresh the page after the experiment starts. Feel free to click ""previous"" during the instructions, however.</strong> </p><br><p> <strong> Thanks in advance for your contribution to our research! </strong></p>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,instructions,5,81858,0.0-5.0,584,,,,,instructions,62293,,,"[{""page_index"":0,""viewing_time"":19227},{""page_index"":1,""viewing_time"":9424},{""page_index"":2,""viewing_time"":4513},{""page_index"":3,""viewing_time"":12848},{""page_index"":4,""viewing_time"":7216},{""page_index"":5,""viewing_time"":4016},{""page_index"":6,""viewing_time"":3416},{""page_index"":7,""viewing_time"":1633}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,canvas-keyboard-response,6,82063,0.0-6.0-0.0,584,,,,,pre trial waiting period,null,null,,,critical,t,c,d,240,164,164,240,237.1485,162.6685,trueblood,0.02,w,240,164,164,240,237.1485,162.6685,39360,39360,38576.5967,dc,null,null,null,null,null,null,"[3,2]",515.4026486,444.1216154,506.3625151
,canvas-keyboard-response,7,82089,0.0-6.0-1.0,584,,,,,clear_screen,null,null,,,critical,t,c,d,240,164,164,240,237.1485,162.6685,trueblood,0.02,w,240,164,164,240,237.1485,162.6685,39360,39360,38576.5967,dc,null,null,null,null,null,null,"[3,2]",515.4026486,444.1216154,506.3625151
,canvas-keyboard-response,8,82598,0.0-6.0-2.0,584,,,,,rectangles no change,null,null,,,critical,t,c,d,240,164,164,240,237.1485,162.6685,trueblood,0.02,w,240,164,164,240,237.1485,162.6685,39360,39360,38576.5967,dc,null,null,null,null,null,null,"[3,2]",515.4026486,444.1216154,506.3625151
,canvas-keyboard-response,9,83937,0.0-6.0-3.0,584,,,,,rectangles with change,null,null,,,critical,t,c,d,240,164,164,240,237.1485,162.6685,trueblood,0.02,w,240,164,164,240,237.1485,162.6685,39360,39360,38576.5967,dc,null,null,null,null,null,null,"[3,2]",515.4026486,444.1216154,506.3625151
,canvas-keyboard-response,10,83959,0.0-6.0-4.0,584,,,,,clear_screen,null,null,,,critical,t,c,d,240,164,164,240,237.1485,162.6685,trueblood,0.02,w,240,164,164,240,237.1485,162.6685,39360,39360,38576.5967,dc,null,null,null,null,null,null,"[3,2]",515.4026486,444.1216154,506.3625151
,canvas-keyboard-response,11,86401,0.0-6.0-5.0,584,,,,,make choice,2434,2,,,critical,t,c,d,240,164,164,240,237.1485,162.6685,trueblood,0.02,w,240,164,164,240,237.1485,162.6685,39360,39360,38576.5967,dc,null,null,null,null,null,null,"[3,2]",,,
,canvas-keyboard-response,12,86420,0.0-6.0-6.0,584,,,,,clear_screen,null,null,,,critical,t,c,d,240,164,164,240,237.1485,162.6685,trueblood,0.02,w,240,164,164,240,237.1485,162.6685,39360,39360,38576.5967,dc,null,null,null,null,null,null,"[3,2]",,,
,canvas-keyboard-response,13,86622,0.0-6.0-0.1,584,,,,,pre trial waiting period,null,null,,,critical,t,c,d,164,240,240,164,160.6713,232.8713,trueblood,0.05,h,164,240,240,164,160.6713,232.8713,39360,39360,37415.7294,dc,null,null,null,null,null,null,"[3,2]",432.8071317,477.848909,433.1787349
,canvas-keyboard-response,14,86640,0.0-6.0-1.1,584,,,,,clear_screen,null,null,,,critical,t,c,d,164,240,240,164,160.6713,232.8713,trueblood,0.05,h,164,240,240,164,160.6713,232.8713,39360,39360,37415.7294,dc,null,null,null,null,null,null,"[3,2]",432.8071317,477.848909,433.1787349
,canvas-keyboard-response,15,87148,0.0-6.0-2.1,584,,,,,rectangles no change,null,null,,,critical,t,c,d,164,240,240,164,160.6713,232.8713,trueblood,0.05,h,164,240,240,164,160.6713,232.8713,39360,39360,37415.7294,dc,null,null,null,null,null,null,"[3,2]",432.8071317,477.848909,433.1787349
